-0.2825,-0.074557,10.893
-0.25407,0.35643,11.134
-0.069658,-0.34758,11.031
0.0328,0.46927,10.78
-0.082993,0.12776,10.84
-0.28274,-0.027155,10.869
-0.052252,0.19523,10.838
0.0032543,-0.16868,10.824
0.018278,-0.060329,10.817
-0.13548,0.36679,11.019
-0.0071366,-0.1975,10.781
0.0029155,-0.093938,10.801
-0.24672,-0.036539,10.831
0.053806,-0.064693,10.733
-0.11353,-0.093235,10.667
-0.24154,0.23055,11.107
-0.15157,-0.09892,10.634
-0.043731,0.39817,10.846
0.037558,-0.4236,10.818
0.22946,0.48635,10.425
0.24208,0.35327,10.422
-0.08198,-0.01081,10.774
-0.0091841,-0.21997,10.77
-0.1278,-0.41008,11.183
-0.12647,0.23536,11.02
-0.07543,-0.11787,10.641
-0.1657,-0.31236,11.171
-0.14466,-0.11727,10.621
-0.29,0.028007,10.893
-0.086944,-0.088261,10.659
0.05167,-0.018131,10.721
-0.056856,0.054132,10.83
0.062196,-0.30942,10.744
-0.21469,0.43653,11.201
-0.038703,0.10152,10.834
-0.19513,0.30109,11.169
-0.031114,-0.06614,10.809
0.070537,0.11623,10.875
-0.073825,0.10291,10.846
0.0044866,0.12737,10.805
-0.13043,-0.14593,10.583
0.29167,-0.36117,10.402
-0.11295,-0.049562,10.559
0.055173,-0.16731,10.696
-0.051663,-0.12179,10.655
-0.18716,-0.35165,11.135
-0.0081695,0.41923,10.804
0.21778,0.31875,10.407
0.027279,0.17894,10.76
-0.0026705,0.18031,10.794
-0.02037,0.02629,10.78
0.13814,0.39807,10.586
-0.19061,-0.14305,10.612
-0.21359,0.11985,10.652
0.28192,-0.2288,10.392
0.0707,0.18756,10.896
-0.0071181,0.16023,10.807
-0.23368,0.39809,11.164
-0.1171,0.041045,10.533
0.048095,0.22168,10.727
0.022877,0.44193,10.791
-0.047312,0.12475,10.822
0.1905,0.28181,10.406
-0.024518,0.22102,10.835
-0.15259,-0.44466,11.172
0.10492,0.016868,10.873
0.084641,0.03366,10.856
0.19004,-0.31789,10.542
0.15366,-0.011756,10.854
-0.11067,-0.18116,10.58
0.072683,0.029563,10.871
0.054057,0.33743,10.663
-0.3172,-0.13391,10.927
0.19925,-0.45182,10.55
-0.35869,-0.12938,10.964
-0.14468,-0.27636,11.229
0.11082,0.098077,10.825
